Pakistan_Crop_Name,FAO_Item_Name,FAO_Code,HS_Code,HS_Description,FABLE_Category,Action,Conv_Factor
Wheat,Wheat,15,1001.10,Durum wheat (pre-2012 code),CEREALS,INCLUDE,1.00
Wheat,Wheat,15,1001.90,Wheat other than durum (pre-2012 code),CEREALS,INCLUDE,1.00
Wheat,Wheat,15,1001.11,"Durum wheat, seed",CEREALS,INCLUDE,1.00
Wheat,Wheat,15,1001.19,"Durum wheat, other",CEREALS,INCLUDE,1.00
Wheat,Wheat,15,1001.91,"Common/spelt wheat, seed",CEREALS,INCLUDE,1.00
Wheat,Wheat,15,1001.99,"Common/spelt wheat, other",CEREALS,INCLUDE,1.00
Wheat,Wheat and meslin flour,16,1101.00,Wheat flour,CEREALS,CONVERT,1.03
Basmati Rice + IRRI Rice,"Rice, paddy",27,1006.10,Rice in husk (paddy/rough),CEREALS,INCLUDE,1.00
Basmati Rice + IRRI Rice,Husked rice,28,1006.20,Husked (brown) rice,CEREALS,CONVERT,1.25
Basmati Rice + IRRI Rice,Rice; milled,31,1006.30,Semi-milled or wholly milled rice,CEREALS,CONVERT,1.49
Basmati Rice + IRRI Rice,Rice; broken,32,1006.40,Broken rice,CEREALS,CONVERT,1.49
Basmati Rice + IRRI Rice,"Rice, paddy",27,1102.30,Rice flour,CEREALS,EXCLUDE,—
Maize,Maize,56,1005.10,Maize (corn) — seed,CEREALS,INCLUDE,1.00
Maize,Maize,56,1005.90,Maize (corn) — other,CEREALS,INCLUDE,1.00
Maize,Flour of maize,58,1102.20,Maize flour,CEREALS,CONVERT,1.12
Bajra,Millet,79,1008.20,Millet (pre-2012 code),CEREALS,INCLUDE,1.00
Bajra,Millet,79,1008.21,Millet — seed,CEREALS,INCLUDE,1.00
Bajra,Millet,79,1008.29,Millet — other,CEREALS,INCLUDE,1.00
Jowar,Sorghum,83,1007.00,Grain sorghum (pre-2012 code),CEREALS,INCLUDE,1.00
Jowar,Sorghum,83,1007.10,Grain sorghum — seed,CEREALS,INCLUDE,1.00
Jowar,Sorghum,83,1007.90,Grain sorghum — other,CEREALS,INCLUDE,1.00
Barley,Barley,44,1003.00,Barley (pre-2012 code),CEREALS,INCLUDE,1.00
Barley,Barley,44,1003.10,Barley — seed,CEREALS,INCLUDE,1.00
Barley,Barley,44,1003.90,Barley — other,CEREALS,INCLUDE,1.00
Barley,Malt; whether or not roasted,49,1107.10,Malt (not roasted),CEREALS,CONVERT,1.43
Not grown,Oats,75,1004.00,Oats (pre-2012 code),CEREALS,INCLUDE,1.00
Not grown,Oats,75,1004.10,Oats — seed,CEREALS,INCLUDE,1.00
Not grown,Oats,75,1004.90,Oats — other,CEREALS,INCLUDE,1.00
Not grown,Rye,71,1002.10,Rye — seed,CEREALS,ZERO/N/A,—
Not grown,Rye,71,1002.90,Rye — other,CEREALS,ZERO/N/A,—
No other cereals in Pakistan,Other cereals,—,1008.10,Buckwheat,CEREALS,ZERO/N/A,—
No other cereals in Pakistan,Other cereals,—,1008.50,Quinoa,CEREALS,ZERO/N/A,—
Sugarcane,Sugar cane,156,1212.93,Sugar cane (raw),SUGAR,INCLUDE,1.00
Sugar beet,Sugar beet,157,1212.91,Sugar beet,SUGAR,INCLUDE,1.00
Derived from sugarcane,"Sugar, raw",162,1701.12,"Beet sugar, raw",SUGAR,EXCLUDE,—
Derived from sugarcane,"Sugar, raw",162,1701.11,Raw cane sugar (pre-2012 code),SUGAR,INCLUDE,1.00
Derived from sugarcane,"Sugar, raw",162,1701.13,"Cane sugar, raw (for refining)",SUGAR,INCLUDE,1.00
Derived from sugarcane,"Sugar, raw",162,1701.14,Other raw cane sugar,SUGAR,INCLUDE,1.00
Derived from sugarcane,Refined sugar,164,1701.91,Refined beet sugar,SUGAR,CONVERT,1.09
Derived from sugarcane,Refined sugar,164,1701.99,Other refined sugar,SUGAR,CONVERT,1.09
Derived from sugarcane,"Sugar, raw",162,1703.10,Cane molasses,SUGAR,EXCLUDE,—
Cotton Lint,Cotton lint,767,5201.00,"Cotton, not carded or combed",FIBERINDUS,INCLUDE,1.00
Cotton Lint,Cotton lint,767,5202.10,Cotton; yarn waste (including thread waste),FIBERINDUS,EXCLUDE,—
Cotton Lint,Cotton lint,767,5202.91,Cotton; garnetted stock waste,FIBERINDUS,EXCLUDE,—
Cotton Lint,Cotton lint,767,5202.99,Cotton; waste other than garnetted stock and yarn (including thread) waste,FIBERINDUS,EXCLUDE,—
Cotton Lint,Cotton lint,767,5203.00,"Cotton, carded or combed",FIBERINDUS,INCLUDE,1.00
Cotton Lint,Cotton lint,767,5205.00,Cotton yarn (not retail),FIBERINDUS,EXCLUDE,—
Jute,Jute; raw or retted,780,5303.10,"Jute and textile bast fibres, raw/retted",FIBERINDUS,INCLUDE,1.00
Jute,Jute; raw or retted,780,5303.90,Other jute fibres,FIBERINDUS,INCLUDE,1.00
