fable_number,commodity,unit,year,Punjab,Sindh,KPK,Balochistan,Pakistan,Province Sum Check
1,Wheat,'000 Tonnes,2000-01,15419.0,2226.5,764.0,614.2,19023.7,OK
1,Wheat,'000 Tonnes,2001-02,14594.4,2101.0,890.5,640.6,18226.5,OK
1,Wheat,'000 Tonnes,2002-03,15355.0,2109.2,1064.4,654.7,19183.3,OK
1,Wheat,'000 Tonnes,2003-04,15639.0,2172.2,1025.2,663.4,19499.8,OK
1,Wheat,'000 Tonnes,2004-05,17375.0,2508.6,1091.1,637.6,21612.3,OK
1,Wheat,'000 Tonnes,2005-06,16776.0,2750.3,1100.6,649.9,21276.8,OK
1,Wheat,'000 Tonnes,2006-07,17853.0,3409.2,1160.4,872.1,23294.7,OK
1,Wheat,'000 Tonnes,2007-08,15607.0,3411.4,1071.8,868.6,20958.8,OK
1,Wheat,'000 Tonnes,2008-09,18420.0,3540.2,1204.5,868.2,24032.9,OK
1,Wheat,'000 Tonnes,2009-10,17919.0,3703.1,1152.5,536.2,23310.8,OK
1,Wheat,'000 Tonnes,2010-11,19041.0,4287.9,1155.8,729.1,25213.8,OK
1,Wheat,'000 Tonnes,2011-12,17738.9,3761.5,1130.3,842.7,23473.4,OK
1,Wheat,'000 Tonnes,2012-13,18587.0,3598.7,1257.6,768.1,24211.4,OK
1,Wheat,'000 Tonnes,2013-14,19738.9,4002.1,1363.1,875.3,25979.4,OK
1,Wheat,'000 Tonnes,2014-15,19281.9,3672.2,1259.9,872.1,25086.1,OK
1,Wheat,'000 Tonnes,2015-16,19526.7,3834.6,1400.5,871.3,25633.1,OK
1,Wheat,'000 Tonnes,2016-17,20466.3,3910.4,1365.1,931.8,26673.6,OK
1,Wheat,'000 Tonnes,2017-18,19178.5,3639.5,1322.7,935.4,25076.1,OK
1,Wheat,'000 Tonnes,2018-19,18377.2,3778.9,1336.7,865.3,24358.1,OK
1,Wheat,'000 Tonnes,2019-20,19401.9,3848.1,1130.4,867.2,25247.6,OK
1,Wheat,'000 Tonnes,2020-21,20900.0,4043.2,1361.6,1159.3,27464.1,OK
1,Wheat,'000 Tonnes,2021-22,20032.0,3556.7,1362.8,1257.1,26208.7,OK
1,Wheat,'000 Tonnes,2022-23,21225.03,3940.17,1479.13,1516.23,28160.56,OK
