fable_number,fable_group,fable_commodity,year,flow,trade_value_usd,qty_million_tonnes,n_hs_codes_summed,qty_note
43,FRUVEG,Apple,2000,Export,593939.0,0.001750026,1,
43,FRUVEG,Apple,2000,Import,20669.0,6.7248e-05,1,
43,FRUVEG,Apple,2001,Export,389932.0,0.001060464,1,
43,FRUVEG,Apple,2001,Import,171378.0,0.000555296,1,
43,FRUVEG,Apple,2002,Export,343416.25,0.000822379,1,
43,FRUVEG,Apple,2002,Import,58041.0,0.000185148,1,
43,FRUVEG,Apple,2003,Export,41530.0,0.00012388,1,
43,FRUVEG,Apple,2003,Import,825291.0,0.004821622,1,
43,FRUVEG,Apple,2004,Export,59944.0,9.735e-05,1,
43,FRUVEG,Apple,2004,Import,735187.0,0.004478577,1,
43,FRUVEG,Apple,2005,Export,45022.0,0.000122794,1,
43,FRUVEG,Apple,2005,Import,1229738.0,0.006584245,1,
43,FRUVEG,Apple,2006,Export,196118.0,0.000462834,1,
43,FRUVEG,Apple,2006,Import,1143277.0,0.006027055,1,
43,FRUVEG,Apple,2007,Export,8268.0,1.8925e-05,1,
43,FRUVEG,Apple,2007,Import,2134917.0,0.012301045,1,
43,FRUVEG,Apple,2008,Export,535506.0,0.001456496,1,
43,FRUVEG,Apple,2008,Import,1755766.0,0.009208389,1,
43,FRUVEG,Apple,2009,Export,594480.0,0.001540106,1,
43,FRUVEG,Apple,2009,Import,2173563.0,0.011153951,1,
43,FRUVEG,Apple,2010,Export,595727.0,0.001682872,1,
43,FRUVEG,Apple,2010,Import,2615362.0,0.011964836,1,
43,FRUVEG,Apple,2011,Export,450988.0,0.00099592,1,
43,FRUVEG,Apple,2011,Import,3778104.0,0.016282129,1,
43,FRUVEG,Apple,2012,Export,865736.0,0.002164883,1,
43,FRUVEG,Apple,2012,Import,5739264.0,0.023916695,1,
43,FRUVEG,Apple,2013,Export,286582.0,0.000598644,1,
43,FRUVEG,Apple,2013,Import,9978921.0,0.035358995,1,
43,FRUVEG,Apple,2014,Export,405046.0,0.00080669,1,
43,FRUVEG,Apple,2014,Import,7169720.0,0.026276189,1,
43,FRUVEG,Apple,2015,Export,163100.0,0.000375536,1,
43,FRUVEG,Apple,2015,Import,16818552.0,0.05144685,1,
43,FRUVEG,Apple,2016,Export,360880.0,0.000766511,1,
43,FRUVEG,Apple,2016,Import,34361052.0,0.060078115,1,
43,FRUVEG,Apple,2017,Export,121594.81,0.000205844,1,
43,FRUVEG,Apple,2017,Import,53685248.45,0.116247631,1,
43,FRUVEG,Apple,2018,Export,235908.07,0.000349028,1,
43,FRUVEG,Apple,2018,Import,18671055.04,0.030640406,1,
43,FRUVEG,Apple,2019,Export,232656.0,0.000350477,1,
43,FRUVEG,Apple,2019,Import,43429258.36,0.0674489,1,
43,FRUVEG,Apple,2020,Export,230903.33,0.000527818,1,
43,FRUVEG,Apple,2020,Import,36459523.49,0.05148543,1,
43,FRUVEG,Apple,2021,Export,44245.51,7.3338e-05,1,
43,FRUVEG,Apple,2021,Import,14593445.19,0.028970137,1,
43,FRUVEG,Apple,2022,Export,85407.1,0.000127761,1,
43,FRUVEG,Apple,2022,Import,13169981.22,0.0287738,1,
