fable_number,fable_group,fable_commodity,window,flow,avg_value_usd,avg_qty_million_tonnes
1,CEREALS,Wheat,2000-2005,Export,48358208.232,0.34855802059999996
1,CEREALS,Wheat,2005-2010,Export,94500759.0,0.44689759020000003
1,CEREALS,Wheat,2010-2015,Export,362024165.6,1.1783885324
1,CEREALS,Wheat,2015-2020,Export,246003789.144,0.9908482599999999
1,CEREALS,Wheat,2020-2025,Export,321435.798,0.000983032
1,CEREALS,Wheat,2000-2005,Import,9224044.4,0.049493571199999996
1,CEREALS,Wheat,2005-2010,Import,455700043.6,1.2763420707999997
1,CEREALS,Wheat,2010-2015,Import,86801985.2,0.2683109836
1,CEREALS,Wheat,2015-2020,Import,788485.36,0.002831884
1,CEREALS,Wheat,2020-2025,Import,777609132.2559999,2.4176231098
2,CEREALS,Rice (paddy),2000-2005,Export,469154944.604,2.0645237426
2,CEREALS,Rice (paddy),2005-2010,Export,1522169038.4,4.7623321398
2,CEREALS,Rice (paddy),2010-2015,Export,2106388328.2,5.5527181116
2,CEREALS,Rice (paddy),2015-2020,Export,1929172859.5760002,5.982032258599999
2,CEREALS,Rice (paddy),2020-2025,Export,2726034514.8380003,6.9631705606
2,CEREALS,Rice (paddy),2000-2005,Import,1071985.8,0.0037902225999999995
2,CEREALS,Rice (paddy),2005-2010,Import,2429689.8,0.0366635188
2,CEREALS,Rice (paddy),2010-2015,Import,37367184.6,0.0416113102
2,CEREALS,Rice (paddy),2015-2020,Import,28165157.953999996,0.021998076
2,CEREALS,Rice (paddy),2020-2025,Import,41984282.218,0.011020558
3,CEREALS,Corn / Maize,2000-2005,Export,124482.0,0.0002625776
3,CEREALS,Corn / Maize,2005-2010,Export,13990936.8,0.0636724214
3,CEREALS,Corn / Maize,2010-2015,Export,42228858.0,0.15780598640000001
3,CEREALS,Corn / Maize,2015-2020,Export,12599327.76,0.05969809159999999
3,CEREALS,Corn / Maize,2020-2025,Export,203772962.294,0.7918906818
3,CEREALS,Corn / Maize,2000-2005,Import,8073045.840000001,0.0186531412
3,CEREALS,Corn / Maize,2005-2010,Import,31509431.6,0.0447138502
3,CEREALS,Corn / Maize,2010-2015,Import,45206818.4,0.0175655326
3,CEREALS,Corn / Maize,2015-2020,Import,58064306.17,0.0344303922
3,CEREALS,Corn / Maize,2020-2025,Import,71451648.33,0.0242049892
4,CEREALS,Millet,2000-2005,Export,5885.5,1.6121499999999998e-05
4,CEREALS,Millet,2005-2010,Export,44469.0,0.00020860000000000003
4,CEREALS,Millet,2010-2015,Export,36767.0,0.0001380438
4,CEREALS,Millet,2015-2020,Export,692622.708,0.0027257999999999996
4,CEREALS,Millet,2020-2025,Export,1382591.98,0.0057072
4,CEREALS,Millet,2000-2005,Import,2139.5,1.35e-05
4,CEREALS,Millet,2005-2010,Import,687561.6,0.0032029356000000003
4,CEREALS,Millet,2010-2015,Import,2874470.8,0.011922000999999998
4,CEREALS,Millet,2015-2020,Import,5479852.816,0.0209124
4,CEREALS,Millet,2020-2025,Import,353565.886,0.0031388262
5,CEREALS,Sorghum,2000-2005,Export,274.75,1.25e-09
5,CEREALS,Sorghum,2005-2010,Export,7241.8,2.74e-05
5,CEREALS,Sorghum,2010-2015,Export,3478.2,9.400000000000001e-06
5,CEREALS,Sorghum,2015-2020,Export,7164.774,2.38e-05
5,CEREALS,Sorghum,2020-2025,Export,2606.144,1.0800000000000002e-05
5,CEREALS,Sorghum,2000-2005,Import,102273.5,0.00011425275
5,CEREALS,Sorghum,2005-2010,Import,229634.2,0.0009502
5,CEREALS,Sorghum,2010-2015,Import,1432599.2,0.0054360526
5,CEREALS,Sorghum,2015-2020,Import,11950325.874,0.0397478
5,CEREALS,Sorghum,2020-2025,Import,933568.7980000001,0.0038304
6,CEREALS,Barley,2000-2005,Export,160687.6,0.0009061787999999999
